Case Study,Sampling Strategy,Robustness,Confidence Difference
JavaGC,solverBased,0.0,0.0
JavaGC,solverBased,0.0001,-0.0358194266045187
JavaGC,solverBased,0.0002,-0.0695437042588724
JavaGC,solverBased,0.0003,-0.111268440863733
JavaGC,solverBased,0.0004,-0.151084890361139
JavaGC,solverBased,0.0005,-0.1790801506065478
JavaGC,solverBased,0.0006,-0.2153373522667983
JavaGC,solverBased,0.0007,-0.2499358391499157
JavaGC,solverBased,0.0008,-0.28295134035518
JavaGC,solverBased,0.0009,-0.3144561346129569
JavaGC,solverBased,0.001,-0.3445192071684768
JavaGC,solverBased,0.0011,-0.3732063995469155
JavaGC,solverBased,0.0012,-0.4005805525221677
JavaGC,solverBased,0.0013,-0.4267016425970918
JavaGC,solverBased,0.0014,-0.4516269122890984
JavaGC,solverBased,0.0015,-0.4754109945016697
JavaGC,solverBased,0.0016,-0.4981060312497418
JavaGC,solverBased,0.0017,-0.5197617869945959
JavaGC,solverBased,0.0018,-0.5404257568328598
JavaGC,solverBased,0.0019,-0.5601432697723093
JavaGC,solverBased,0.002,-0.5789575873174859
JavaGC,solverBased,0.0021,-0.596909997577556
JavaGC,solverBased,0.0022,-0.6140399050993935
JavaGC,solverBased,0.0023,-0.630384916619668
JavaGC,solverBased,0.0024,-0.6459809229209466
JavaGC,solverBased,0.0025,-0.6608621769684571
JavaGC,solverBased,0.0026,-0.6750613684961745
JavaGC,solverBased,0.0027,-0.6886096952031571
JavaGC,solverBased,0.0028,-0.7015369307140995
JavaGC,solverBased,0.0029,-0.71387148945056
JavaGC,solverBased,0.003,-0.7256404885532322
JavaGC,solverBased,0.0031,-0.7368698069889494
JavaGC,solverBased,0.0032,-0.7475841419701713
JavaGC,solverBased,0.0033,-0.7578070628088958
JavaGC,solverBased,0.0034,-0.7675610623214241
JavaGC,solverBased,0.0035,-0.7768676058951294
JavaGC,solverBased,0.0036,-0.7857471783233574
JavaGC,solverBased,0.0037,-0.7842193285097125
JavaGC,solverBased,0.0038,-0.782302712138598
JavaGC,solverBased,0.0039,-0.790015132404154
JavaGC,solverBased,0.004,-0.7973735788858977
JavaGC,solverBased,0.0041,-0.8043942646551696
JavaGC,solverBased,0.0042,-0.8110926616927417
JavaGC,solverBased,0.0043,-0.8174835346942957
JavaGC,solverBased,0.0044,-0.8235809733369992
JavaGC,solverBased,0.0045,-0.829398423077093
JavaGC,solverBased,0.0046,-0.8349487145452322
JavaGC,solverBased,0.0047,-0.840244091603263
JavaGC,solverBased,0.0048,-0.8452962381233505
JavaGC,solverBased,0.0049,-0.8501163035474026
JavaGC,solverBased,0.005,-0.8547149272823167
JavaGC,solverBased,0.0051,-0.8591022619839308
JavaGC,solverBased,0.0052,-0.8632879957802053
JavaGC,solverBased,0.0053,-0.8672813734818613
JavaGC,solverBased,0.0054,-0.8710912168265154
JavaGC,solverBased,0.0055,-0.874725943800261
JavaGC,solverBased,0.0056,-0.8781935870786551
JavaGC,solverBased,0.0057,-0.8815018116271393
JavaGC,solverBased,0.0058,-0.8846579314991861
JavaGC,solverBased,0.0059,-0.8876689258685923
JavaGC,solverBased,0.006,-0.8905414543308168
JavaGC,solverBased,0.0061,-0.8932818715066014
JavaGC,solverBased,0.0062,-0.895896240979626
JavaGC,solverBased,0.0063,-0.8983903485985043
