Case Study,Sampling Strategy,Robustness,Confidence Difference
JavaGC,solverBased,0.0,0.0
JavaGC,solverBased,0.01,-0.931027648765954
JavaGC,solverBased,0.02,-0.669923258638526
JavaGC,solverBased,0.03,-0.6699993749088202
JavaGC,solverBased,0.04,-0.6699999951559537
JavaGC,solverBased,0.05,-0.6699999999643245
JavaGC,solverBased,0.06,-0.6699999999997506
JavaGC,solverBased,0.07,-0.6699999999999984
JavaGC,solverBased,0.08,-0.6699999999999999
JavaGC,solverBased,0.09,-0.6699999999999999
JavaGC,solverBased,0.1,-0.6699999999999999
JavaGC,solverBased,0.11,-0.6599999999999999
JavaGC,solverBased,0.12,-0.65
JavaGC,solverBased,0.13,-0.65
JavaGC,solverBased,0.14,-0.65
