Case Study,Sampling Strategy,Robustness,Confidence Difference
LLVM,SRSSampling,0.0,0.0
LLVM,SRSSampling,0.0001,0.1043159307794597
LLVM,SRSSampling,0.0002,0.0986636065506796
LLVM,SRSSampling,0.0003,0.0930428531694346
LLVM,SRSSampling,0.0004,0.0874534974295307
LLVM,SRSSampling,0.0005,0.0818953670578459
LLVM,SRSSampling,0.0006,0.0763682907093899
LLVM,SRSSampling,0.0007,0.0708720979624197
LLVM,SRSSampling,0.0008,0.0654066193135214
LLVM,SRSSampling,0.0009,0.0599716861727755
LLVM,SRSSampling,0.001,0.3445671308589194
LLVM,SRSSampling,0.0011,0.3391927865945406
LLVM,SRSSampling,0.0012,0.3338484875012933
LLVM,SRSSampling,0.0013,0.3285340685951421
LLVM,SRSSampling,0.0014,0.3232493657816282
LLVM,SRSSampling,0.0015,0.3179942158511623
LLVM,SRSSampling,0.0016,0.3127684564743341
LLVM,SRSSampling,0.0017,0.3075719261972772
LLVM,SRSSampling,0.0018,0.302404464436998
LLVM,SRSSampling,0.0019,0.2972659114767884
LLVM,SRSSampling,0.002,0.2921561084616331
LLVM,SRSSampling,0.0021,0.2870748973936458
LLVM,SRSSampling,0.0022,0.2820221211275296
LLVM,SRSSampling,0.0023,0.2769976233660615
LLVM,SRSSampling,0.0024,0.2720012486555994
LLVM,SRSSampling,0.0025,0.267032842381613
LLVM,SRSSampling,0.0026,0.2620922507642326
LLVM,SRSSampling,0.0027,0.257179320853848
LLVM,SRSSampling,0.0028,0.2522939005266754
LLVM,SRSSampling,0.0029,0.2474358384804036
LLVM,SRSSampling,0.003,0.2626049842298326
LLVM,SRSSampling,0.0031,0.2578011881025436
LLVM,SRSSampling,0.0032,0.2530243012345891
LLVM,SRSSampling,0.0033,0.2482741755662065
LLVM,SRSSampling,0.0034,0.2435506638375537
LLVM,SRSSampling,0.0035,0.2388536195844673
LLVM,SRSSampling,0.0036,0.2341828971342371
LLVM,SRSSampling,0.0037,0.229538351601429
LLVM,SRSSampling,0.0038,0.2249198388836774
LLVM,SRSSampling,0.0039,0.2203272156575513
LLVM,SRSSampling,0.004,0.3557603393744171
LLVM,SRSSampling,0.0041,0.351219068256326
LLVM,SRSSampling,0.0042,0.3467032612919252
LLVM,SRSSampling,0.0043,0.3422127782323885
LLVM,SRSSampling,0.0044,0.3377474795873694
LLVM,SRSSampling,0.0045,0.3333072266209741
LLVM,SRSSampling,0.0046,0.328891881347752
LLVM,SRSSampling,0.0047,0.32450130652873
LLVM,SRSSampling,0.0048,0.3201353656674196
LLVM,SRSSampling,0.0049,0.4157939230058938
LLVM,SRSSampling,0.005,0.4114768435208588
LLVM,SRSSampling,0.0051,0.4071839929197526
LLVM,SRSSampling,0.0052,0.4029152376368626
LLVM,SRSSampling,0.0053,0.398670444829465
LLVM,SRSSampling,0.0054,0.394449482373982
LLVM,SRSSampling,0.0055,0.3902522188621615
LLVM,SRSSampling,0.0056,0.3860785235972707
LLVM,SRSSampling,0.0057,0.3819282665903325
LLVM,SRSSampling,0.0058,0.3778013185563366
LLVM,SRSSampling,0.0059,0.3936975509105148
LLVM,SRSSampling,0.006,0.3896168357646146
LLVM,SRSSampling,0.0061,0.3855590459231948
LLVM,SRSSampling,0.0062,0.3815240548799421
LLVM,SRSSampling,0.0063,0.3775117368140062
LLVM,SRSSampling,0.0064,0.3735219665863538
LLVM,SRSSampling,0.0065,0.3695546197361424
LLVM,SRSSampling,0.0066,0.3656095724771077
LLVM,SRSSampling,0.0067,0.3616867016939922
LLVM,SRSSampling,0.0068,0.3577858849389493
LLVM,SRSSampling,0.0069,0.4039070004280086
LLVM,SRSSampling,0.007,0.4000499270375393
LLVM,SRSSampling,0.0071,0.3962145443007343
LLVM,SRSSampling,0.0072,0.3924007324041159
LLVM,SRSSampling,0.0073,0.3886083721840562
LLVM,SRSSampling,0.0074,0.384837345123318
LLVM,SRSSampling,0.0075,0.3810875333476134
LLVM,SRSSampling,0.0076,0.3773588196221755
LLVM,SRSSampling,0.0077,0.3736510873483692
LLVM,SRSSampling,0.0078,0.3699642205602784
LLVM,SRSSampling,0.0079,0.3962981039213523
LLVM,SRSSampling,0.008,0.3926526227210486
LLVM,SRSSampling,0.0081,0.3890276628714979
LLVM,SRSSampling,0.0082,0.3854231109041867
LLVM,SRSSampling,0.0083,0.3818388539666562
LLVM,SRSSampling,0.0084,0.3782747798192197
LLVM,SRSSampling,0.0085,0.3747307768316967
LLVM,SRSSampling,0.0086,0.3712067339801594
LLVM,SRSSampling,0.0087,0.3677025408437174
LLVM,SRSSampling,0.0088,0.3942180876012784
LLVM,SRSSampling,0.0089,0.390753265028366
LLVM,SRSSampling,0.009,0.3873079644939345
LLVM,SRSSampling,0.0091,0.3838820779572042
LLVM,SRSSampling,0.0092,0.3804754979645124
LLVM,SRSSampling,0.0093,0.3770881176461825
LLVM,SRSSampling,0.0094,0.3737198307134084
LLVM,SRSSampling,0.0095,0.3703705314551552
LLVM,SRSSampling,0.0096,0.3670401147350727
LLVM,SRSSampling,0.0097,0.3637284759884439
LLVM,SRSSampling,0.0098,0.3804355112191118
LLVM,SRSSampling,0.0099,0.3771611169964594
LLVM,SRSSampling,0.01,0.3739051904523875
LLVM,SRSSampling,0.0101,0.3706676292783122
LLVM,SRSSampling,0.0102,0.3674483317221765
LLVM,SRSSampling,0.0103,0.3642471965854797
LLVM,SRSSampling,0.0104,0.3610641232203211
LLVM,SRSSampling,0.0105,0.3578990115264594
LLVM,SRSSampling,0.0106,0.354751761948384
LLVM,SRSSampling,0.0107,0.3516222754724197
LLVM,SRSSampling,0.0108,0.3585104536238105
LLVM,SRSSampling,0.0109,0.3554161984638548
