Case Study,Sampling Strategy,Robustness,Confidence Difference
LLVM,divDistBased,0.0,0.0
LLVM,divDistBased,0.0001,-0.0056840692205402
LLVM,divDistBased,0.0002,-0.0113363934493203
LLVM,divDistBased,0.0003,-0.0169571468305653
LLVM,divDistBased,0.0004,-0.0225465025704693
LLVM,divDistBased,0.0005,-0.028104632942154
LLVM,divDistBased,0.0006,-0.0336317092906101
LLVM,divDistBased,0.0007,-0.0391279020375802
LLVM,divDistBased,0.0008,-0.0445933806864785
LLVM,divDistBased,0.0009,-0.0500283138272245
LLVM,divDistBased,0.001,0.2545671308589194
LLVM,divDistBased,0.0011,0.2491927865945406
LLVM,divDistBased,0.0012,0.2438484875012933
LLVM,divDistBased,0.0013,0.2385340685951421
LLVM,divDistBased,0.0014,0.2332493657816282
LLVM,divDistBased,0.0015,0.2279942158511622
LLVM,divDistBased,0.0016,0.2227684564743341
LLVM,divDistBased,0.0017,0.2175719261972772
LLVM,divDistBased,0.0018,0.2124044644369979
LLVM,divDistBased,0.0019,0.2072659114767883
LLVM,divDistBased,0.002,0.202156108461633
LLVM,divDistBased,0.0021,0.1970748973936457
LLVM,divDistBased,0.0022,0.1920221211275296
LLVM,divDistBased,0.0023,0.1869976233660614
LLVM,divDistBased,0.0024,0.1820012486555993
LLVM,divDistBased,0.0025,0.177032842381613
LLVM,divDistBased,0.0026,0.1720922507642325
LLVM,divDistBased,0.0027,0.1671793208538479
LLVM,divDistBased,0.0028,0.1622939005266754
LLVM,divDistBased,0.0029,0.1574358384804036
LLVM,divDistBased,0.003,0.1526049842298326
LLVM,divDistBased,0.0031,0.1478011881025436
LLVM,divDistBased,0.0032,0.1430243012345891
LLVM,divDistBased,0.0033,0.1382741755662065
LLVM,divDistBased,0.0034,0.1335506638375537
LLVM,divDistBased,0.0035,0.1288536195844673
LLVM,divDistBased,0.0036,0.1241828971342371
LLVM,divDistBased,0.0037,0.119538351601429
LLVM,divDistBased,0.0038,0.1149198388836774
LLVM,divDistBased,0.0039,0.1103272156575513
LLVM,divDistBased,0.004,0.335760339374417
LLVM,divDistBased,0.0041,0.3312190682563259
LLVM,divDistBased,0.0042,0.3267032612919252
LLVM,divDistBased,0.0043,0.3222127782323885
LLVM,divDistBased,0.0044,0.3177474795873694
LLVM,divDistBased,0.0045,0.3133072266209741
LLVM,divDistBased,0.0046,0.308891881347752
LLVM,divDistBased,0.0047,0.30450130652873
LLVM,divDistBased,0.0048,0.3001353656674196
LLVM,divDistBased,0.0049,0.3357939230058937
LLVM,divDistBased,0.005,0.3314768435208587
LLVM,divDistBased,0.0051,0.3271839929197525
LLVM,divDistBased,0.0052,0.3229152376368626
LLVM,divDistBased,0.0053,0.3186704448294649
LLVM,divDistBased,0.0054,0.3144494823739819
LLVM,divDistBased,0.0055,0.3102522188621615
LLVM,divDistBased,0.0056,0.3060785235972706
LLVM,divDistBased,0.0057,0.3019282665903324
LLVM,divDistBased,0.0058,0.2978013185563365
LLVM,divDistBased,0.0059,0.3036975509105147
LLVM,divDistBased,0.006,0.2996168357646145
LLVM,divDistBased,0.0061,0.2955590459231947
LLVM,divDistBased,0.0062,0.291524054879942
LLVM,divDistBased,0.0063,0.2875117368140061
LLVM,divDistBased,0.0064,0.2835219665863537
LLVM,divDistBased,0.0065,0.2795546197361424
LLVM,divDistBased,0.0066,0.2756095724771076
LLVM,divDistBased,0.0067,0.2716867016939921
LLVM,divDistBased,0.0068,0.2677858849389493
LLVM,divDistBased,0.0069,0.6339070004280086
LLVM,divDistBased,0.007,0.6300499270375393
LLVM,divDistBased,0.0071,0.6262145443007343
LLVM,divDistBased,0.0072,0.6224007324041159
LLVM,divDistBased,0.0073,0.6186083721840562
LLVM,divDistBased,0.0074,0.614837345123318
LLVM,divDistBased,0.0075,0.6110875333476135
LLVM,divDistBased,0.0076,0.6073588196221755
LLVM,divDistBased,0.0077,0.6036510873483693
LLVM,divDistBased,0.0078,0.5999642205602784
LLVM,divDistBased,0.0079,0.5962981039213523
LLVM,divDistBased,0.008,0.5926526227210486
LLVM,divDistBased,0.0081,0.5890276628714979
LLVM,divDistBased,0.0082,0.5854231109041866
LLVM,divDistBased,0.0083,0.5818388539666561
LLVM,divDistBased,0.0084,0.5782747798192197
LLVM,divDistBased,0.0085,0.5747307768316967
LLVM,divDistBased,0.0086,0.5712067339801594
LLVM,divDistBased,0.0087,0.5677025408437174
LLVM,divDistBased,0.0088,0.5642180876012783
LLVM,divDistBased,0.0089,0.560753265028366
LLVM,divDistBased,0.009,0.5573079644939345
LLVM,divDistBased,0.0091,0.5538820779572041
LLVM,divDistBased,0.0092,0.5504754979645123
LLVM,divDistBased,0.0093,0.5470881176461825
LLVM,divDistBased,0.0094,0.5437198307134083
LLVM,divDistBased,0.0095,0.5403705314551551
LLVM,divDistBased,0.0096,0.5370401147350726
LLVM,divDistBased,0.0097,0.5337284759884439
LLVM,divDistBased,0.0098,0.5304355112191117
LLVM,divDistBased,0.0099,0.5271611169964593
LLVM,divDistBased,0.01,0.5239051904523875
LLVM,divDistBased,0.0101,0.5206676292783121
LLVM,divDistBased,0.0102,0.5174483317221764
LLVM,divDistBased,0.0103,0.5142471965854797
LLVM,divDistBased,0.0104,0.511064123220321
LLVM,divDistBased,0.0105,0.5078990115264593
LLVM,divDistBased,0.0106,0.5047517619483839
LLVM,divDistBased,0.0107,0.5016222754724197
LLVM,divDistBased,0.0108,0.4985104536238105
LLVM,divDistBased,0.0109,0.4954161984638549
