Case Study,Sampling Strategy,Robustness,Confidence Difference
LLVM,random,0.0,0.0
LLVM,random,0.0001,0.0343159307794597
LLVM,random,0.0002,0.0286636065506796
LLVM,random,0.0003,0.0230428531694346
LLVM,random,0.0004,0.0174534974295306
LLVM,random,0.0005,0.0118953670578459
LLVM,random,0.0006,0.0063682907093899
LLVM,random,0.0007,0.0008720979624197
LLVM,random,0.0008,-0.0045933806864785
LLVM,random,0.0009,-0.0100283138272245
LLVM,random,0.001,0.0745671308589194
LLVM,random,0.0011,0.0691927865945406
LLVM,random,0.0012,0.0638484875012933
LLVM,random,0.0013,0.0585340685951421
LLVM,random,0.0014,0.0532493657816282
LLVM,random,0.0015,0.0479942158511622
LLVM,random,0.0016,0.0427684564743341
LLVM,random,0.0017,0.0375719261972772
LLVM,random,0.0018,0.0324044644369979
LLVM,random,0.0019,0.0272659114767883
LLVM,random,0.002,0.022156108461633
LLVM,random,0.0021,0.0170748973936457
LLVM,random,0.0022,0.0120221211275296
LLVM,random,0.0023,0.0069976233660614
LLVM,random,0.0024,0.0020012486555993
LLVM,random,0.0025,-0.0029671576183869
LLVM,random,0.0026,-0.0079077492357674
LLVM,random,0.0027,-0.012820679146152
LLVM,random,0.0028,-0.0177060994733245
LLVM,random,0.0029,-0.0225641615195963
LLVM,random,0.003,0.0526049842298326
LLVM,random,0.0031,0.0478011881025436
LLVM,random,0.0032,0.0430243012345891
LLVM,random,0.0033,0.0382741755662065
LLVM,random,0.0034,0.0335506638375537
LLVM,random,0.0035,0.0288536195844673
LLVM,random,0.0036,0.0241828971342371
LLVM,random,0.0037,0.019538351601429
LLVM,random,0.0038,0.0149198388836774
LLVM,random,0.0039,0.0103272156575513
LLVM,random,0.004,0.065760339374417
LLVM,random,0.0041,0.0612190682563259
LLVM,random,0.0042,0.0567032612919251
LLVM,random,0.0043,0.0522127782323884
LLVM,random,0.0044,0.0477474795873693
LLVM,random,0.0045,0.043307226620974
LLVM,random,0.0046,0.038891881347752
LLVM,random,0.0047,0.0345013065287299
LLVM,random,0.0048,0.0301353656674195
LLVM,random,0.0049,0.0657939230058937
LLVM,random,0.005,0.0614768435208587
LLVM,random,0.0051,0.0571839929197525
LLVM,random,0.0052,0.0529152376368626
LLVM,random,0.0053,0.0486704448294649
LLVM,random,0.0054,0.044449482373982
LLVM,random,0.0055,0.0402522188621615
LLVM,random,0.0056,0.0360785235972706
LLVM,random,0.0057,0.0319282665903324
LLVM,random,0.0058,0.0278013185563365
LLVM,random,0.0059,0.0536975509105148
LLVM,random,0.006,0.0496168357646145
LLVM,random,0.0061,0.0455590459231947
LLVM,random,0.0062,0.041524054879942
LLVM,random,0.0063,0.0375117368140061
LLVM,random,0.0064,0.0335219665863538
LLVM,random,0.0065,0.0295546197361424
LLVM,random,0.0066,0.0256095724771076
LLVM,random,0.0067,0.0216867016939921
LLVM,random,0.0068,0.0177858849389493
LLVM,random,0.0069,0.0439070004280086
LLVM,random,0.007,0.0400499270375392
LLVM,random,0.0071,0.0362145443007343
LLVM,random,0.0072,0.0324007324041158
LLVM,random,0.0073,0.0286083721840562
LLVM,random,0.0074,0.024837345123318
LLVM,random,0.0075,0.0210875333476134
LLVM,random,0.0076,0.0173588196221755
LLVM,random,0.0077,0.0136510873483692
LLVM,random,0.0078,0.0099642205602784
LLVM,random,0.0079,0.0262981039213523
LLVM,random,0.008,0.0226526227210486
LLVM,random,0.0081,0.0190276628714979
LLVM,random,0.0082,0.0154231109041866
LLVM,random,0.0083,0.0118388539666561
LLVM,random,0.0084,0.0082747798192197
LLVM,random,0.0085,0.0047307768316967
LLVM,random,0.0086,0.0012067339801594
LLVM,random,0.0087,-0.0022974591562825
LLVM,random,0.0088,0.0242180876012783
LLVM,random,0.0089,0.0207532650283659
LLVM,random,0.009,0.0173079644939345
LLVM,random,0.0091,0.0138820779572041
LLVM,random,0.0092,0.0104754979645123
LLVM,random,0.0093,0.0070881176461825
LLVM,random,0.0094,0.0037198307134083
LLVM,random,0.0095,0.0003705314551551
LLVM,random,0.0096,-0.0029598852649273
LLVM,random,0.0097,-0.0062715240115561
LLVM,random,0.0098,0.0304355112191117
LLVM,random,0.0099,0.0271611169964593
LLVM,random,0.01,0.0239051904523875
LLVM,random,0.0101,0.0206676292783121
LLVM,random,0.0102,0.0174483317221764
LLVM,random,0.0103,0.0142471965854797
LLVM,random,0.0104,0.011064123220321
LLVM,random,0.0105,0.0078990115264593
LLVM,random,0.0106,0.0047517619483839
LLVM,random,0.0107,0.0016222754724197
LLVM,random,0.0108,0.0185104536238105
LLVM,random,0.0109,0.0154161984638548
