Case Study,Sampling Strategy,Robustness,Confidence Difference
LLVM,solverBased,0.0,0.0
LLVM,solverBased,0.0001,0.7743159307794598
LLVM,solverBased,0.0002,0.7686636065506797
LLVM,solverBased,0.0003,0.7630428531694347
LLVM,solverBased,0.0004,0.7574534974295307
LLVM,solverBased,0.0005,0.751895367057846
LLVM,solverBased,0.0006,0.7463682907093899
LLVM,solverBased,0.0007,0.7408720979624198
LLVM,solverBased,0.0008,0.7354066193135215
LLVM,solverBased,0.0009,0.7299716861727755
LLVM,solverBased,0.001,0.7345671308589194
LLVM,solverBased,0.0011,0.7291927865945407
LLVM,solverBased,0.0012,0.7238484875012934
LLVM,solverBased,0.0013,0.7185340685951421
LLVM,solverBased,0.0014,0.7132493657816282
LLVM,solverBased,0.0015,0.7079942158511623
LLVM,solverBased,0.0016,0.7027684564743342
LLVM,solverBased,0.0017,0.6975719261972773
LLVM,solverBased,0.0018,0.692404464436998
LLVM,solverBased,0.0019,0.6872659114767884
LLVM,solverBased,0.002,0.6821561084616331
LLVM,solverBased,0.0021,0.6770748973936458
LLVM,solverBased,0.0022,0.6720221211275297
LLVM,solverBased,0.0023,0.6669976233660615
LLVM,solverBased,0.0024,0.6620012486555994
LLVM,solverBased,0.0025,0.6570328423816131
LLVM,solverBased,0.0026,0.6520922507642326
LLVM,solverBased,0.0027,0.647179320853848
LLVM,solverBased,0.0028,0.6422939005266755
LLVM,solverBased,0.0029,0.6374358384804036
LLVM,solverBased,0.003,0.6426049842298327
LLVM,solverBased,0.0031,0.6378011881025437
LLVM,solverBased,0.0032,0.6330243012345892
LLVM,solverBased,0.0033,0.6282741755662066
LLVM,solverBased,0.0034,0.6235506638375538
LLVM,solverBased,0.0035,0.6188536195844674
LLVM,solverBased,0.0036,0.6141828971342372
LLVM,solverBased,0.0037,0.6095383516014291
LLVM,solverBased,0.0038,0.6049198388836775
LLVM,solverBased,0.0039,0.6003272156575514
LLVM,solverBased,0.004,0.5957603393744171
LLVM,solverBased,0.0041,0.591219068256326
LLVM,solverBased,0.0042,0.5867032612919252
LLVM,solverBased,0.0043,0.5822127782323885
LLVM,solverBased,0.0044,0.5777474795873694
LLVM,solverBased,0.0045,0.5733072266209741
LLVM,solverBased,0.0046,0.568891881347752
LLVM,solverBased,0.0047,0.56450130652873
LLVM,solverBased,0.0048,0.5601353656674196
LLVM,solverBased,0.0049,0.5557939230058938
LLVM,solverBased,0.005,0.5514768435208588
LLVM,solverBased,0.0051,0.5471839929197526
LLVM,solverBased,0.0052,0.5429152376368627
LLVM,solverBased,0.0053,0.538670444829465
LLVM,solverBased,0.0054,0.534449482373982
LLVM,solverBased,0.0055,0.5302522188621616
LLVM,solverBased,0.0056,0.5260785235972707
LLVM,solverBased,0.0057,0.5219282665903325
LLVM,solverBased,0.0058,0.5178013185563366
LLVM,solverBased,0.0059,0.5136975509105148
LLVM,solverBased,0.006,0.5096168357646146
LLVM,solverBased,0.0061,0.5055590459231948
LLVM,solverBased,0.0062,0.5015240548799421
LLVM,solverBased,0.0063,0.4975117368140062
LLVM,solverBased,0.0064,0.4935219665863538
LLVM,solverBased,0.0065,0.4895546197361424
LLVM,solverBased,0.0066,0.4856095724771077
LLVM,solverBased,0.0067,0.4816867016939922
LLVM,solverBased,0.0068,0.4777858849389493
LLVM,solverBased,0.0069,0.4739070004280087
LLVM,solverBased,0.007,0.4700499270375393
LLVM,solverBased,0.0071,0.4662145443007344
LLVM,solverBased,0.0072,0.4624007324041159
LLVM,solverBased,0.0073,0.4586083721840562
LLVM,solverBased,0.0074,0.4548373451233181
LLVM,solverBased,0.0075,0.4510875333476135
LLVM,solverBased,0.0076,0.4473588196221756
LLVM,solverBased,0.0077,0.4436510873483693
LLVM,solverBased,0.0078,0.4399642205602785
LLVM,solverBased,0.0079,0.4362981039213524
LLVM,solverBased,0.008,0.4326526227210486
LLVM,solverBased,0.0081,0.4290276628714979
LLVM,solverBased,0.0082,0.4254231109041867
LLVM,solverBased,0.0083,0.4218388539666562
LLVM,solverBased,0.0084,0.4182747798192198
LLVM,solverBased,0.0085,0.4147307768316968
LLVM,solverBased,0.0086,0.4112067339801595
LLVM,solverBased,0.0087,0.4077025408437175
LLVM,solverBased,0.0088,0.4042180876012784
LLVM,solverBased,0.0089,0.400753265028366
LLVM,solverBased,0.009,0.3973079644939346
LLVM,solverBased,0.0091,0.3938820779572042
LLVM,solverBased,0.0092,0.3904754979645124
LLVM,solverBased,0.0093,0.3870881176461825
LLVM,solverBased,0.0094,0.3837198307134084
LLVM,solverBased,0.0095,0.3803705314551552
LLVM,solverBased,0.0096,0.3770401147350727
LLVM,solverBased,0.0097,0.3737284759884439
LLVM,solverBased,0.0098,0.3704355112191118
LLVM,solverBased,0.0099,0.3671611169964593
LLVM,solverBased,0.01,0.3639051904523875
LLVM,solverBased,0.0101,0.3606676292783122
LLVM,solverBased,0.0102,0.3574483317221765
LLVM,solverBased,0.0103,0.3542471965854797
LLVM,solverBased,0.0104,0.3510641232203211
LLVM,solverBased,0.0105,0.3478990115264594
LLVM,solverBased,0.0106,0.344751761948384
LLVM,solverBased,0.0107,0.3416222754724197
LLVM,solverBased,0.0108,0.3385104536238106
LLVM,solverBased,0.0109,0.3354161984638549
