Case Study,Sampling Strategy,Robustness,Confidence Difference
LLVM,solverBased,0.0,0.0
LLVM,solverBased,0.01,0.3639051904523875
LLVM,solverBased,0.02,0.1461449977179155
LLVM,solverBased,0.03,0.056193082321463
LLVM,solverBased,0.04,-0.0123976480157871
LLVM,solverBased,0.05,-0.0462664540172597
LLVM,solverBased,0.06,-0.0706040394968939
LLVM,solverBased,0.07,-0.0740217921035102
LLVM,solverBased,0.08,-0.0713720790240999
LLVM,solverBased,0.09,-0.05537236217408
LLVM,solverBased,0.1,-0.0575349652950419
LLVM,solverBased,0.11,-0.0586961417515844
LLVM,solverBased,0.12,-0.0293152811049129
LLVM,solverBased,0.13,-0.0196430582083257
LLVM,solverBased,0.14,-0.019815323463557
