Case Study,Sampling Strategy,Robustness,Confidence Difference
Polly,SRSSampling,0.0,0.0
Polly,SRSSampling,0.0001,0.0259900644071309
Polly,SRSSampling,0.0002,0.0331335752396934
Polly,SRSSampling,0.0003,0.0513915229235259
Polly,SRSSampling,0.0004,0.0507262134833308
Polly,SRSSampling,0.0005,0.111101224299061
Polly,SRSSampling,0.0006,0.0824813613459857
Polly,SRSSampling,0.0007,0.074832617869007
Polly,SRSSampling,0.0008,0.0581221344427929
Polly,SRSSampling,0.0009,0.0723181603720015
Polly,SRSSampling,0.001,0.0573900163863005
Polly,SRSSampling,0.0011,0.0633080585870574
Polly,SRSSampling,0.0012,0.0400436436037882
Polly,SRSSampling,0.0013,0.0475690949198917
Polly,SRSSampling,0.0014,0.0658576703285377
Polly,SRSSampling,0.0015,0.0748835304808882
Polly,SRSSampling,0.0016,0.054621708490071
Polly,SRSSampling,0.0017,0.1050480805556969
Polly,SRSSampling,0.0018,0.1361393375744262
Polly,SRSSampling,0.0019,0.1278729577040156
Polly,SRSSampling,0.002,0.1302271798485856
Polly,SRSSampling,0.0021,0.1131809780343963
Polly,SRSSampling,0.0022,0.1467140366462841
Polly,SRSSampling,0.0023,0.1308067264959357
Polly,SRSSampling,0.0024,0.1254400816941354
Polly,SRSSampling,0.0025,0.1105957773000528
Polly,SRSSampling,0.0026,0.1062561077215225
Polly,SRSSampling,0.0027,0.1424039658412477
Polly,SRSSampling,0.0028,0.1290228228443681
Polly,SRSSampling,0.0029,0.1460967087241987
Polly,SRSSampling,0.003,0.133610193443178
Polly,SRSSampling,0.0031,0.1315483687271554
Polly,SRSSampling,0.0032,0.1198968304717721
Polly,SRSSampling,0.0033,0.118641661740415
Polly,SRSSampling,0.0034,0.1077694163339071
Polly,SRSSampling,0.0035,0.1172671029127655
Polly,SRSSampling,0.0036,0.107122169653482
Polly,SRSSampling,0.0037,0.0973224894209855
Polly,SRSSampling,0.0038,0.0878563454398027
Polly,SRSSampling,0.0039,0.0887124174474135
Polly,SRSSampling,0.004,0.0798797683134542
Polly,SRSSampling,0.0041,0.0813478311092071
Polly,SRSSampling,0.0042,0.0931063966122552
Polly,SRSSampling,0.0043,0.0851456012316974
Polly,SRSSampling,0.0044,0.0774559153398117
Polly,SRSSampling,0.0045,0.0900281319965216
Polly,SRSSampling,0.0046,0.0828533560534722
Polly,SRSSampling,0.0047,0.0759229936250203
Polly,SRSSampling,0.0048,0.0792287419137003
Polly,SRSSampling,0.0049,0.0727625793784202
Polly,SRSSampling,0.005,0.0665167562337606
Polly,SRSSampling,0.0051,0.0704837852693033
Polly,SRSSampling,0.0052,0.0646564329782332
Polly,SRSSampling,0.0053,0.0590277109848234
Polly,SRSSampling,0.0054,0.0535908677607627
Polly,SRSSampling,0.0055,0.0483393806206216
Polly,SRSSampling,0.0056,0.0532669479870699
Polly,SRSSampling,0.0057,0.0483674819168168
Polly,SRSSampling,0.0058,0.0436351008784244
Polly,SRSSampling,0.0059,0.0490641227736438
Polly,SRSSampling,0.006,0.0446490581939998
Polly,SRSSampling,0.0061,0.0403846039047531
Polly,SRSSampling,0.0062,0.0362656365485865
Polly,SRSSampling,0.0063,0.0322872065616288
Polly,SRSSampling,0.0064,0.0284445322946751
Polly,SRSSampling,0.0065,0.0247329943327014
Polly,SRSSampling,0.0066,0.0211481300060024
Polly,SRSSampling,0.0067,0.0176856280865272
Polly,SRSSampling,0.0068,0.0143413236631263
Polly,SRSSampling,0.0069,0.0211111931897665
Polly,SRSSampling,0.007,0.0179913497008369
Polly,SRSSampling,0.0071,0.0149780381879455
Polly,SRSSampling,0.0072,0.0120676311327669
Polly,SRSSampling,0.0073,0.0092566241906907
Polly,SRSSampling,0.0074,0.0065416320201916
Polly,SRSSampling,0.0075,0.0039193842530184
Polly,SRSSampling,0.0076,0.0013867216004559
Polly,SRSSampling,0.0077,-0.0010594079089051
Polly,SRSSampling,0.0078,-0.0034219525643589
Polly,SRSSampling,0.0079,0.0042962395145385
Polly,SRSSampling,0.008,0.0220924169842312
Polly,SRSSampling,0.0081,0.0199639219980806
Polly,SRSSampling,0.0082,0.0179081870380759
Polly,SRSSampling,0.0083,0.0259227318536036
Polly,SRSSampling,0.0084,0.0240051605036684
Polly,SRSSampling,0.0085,0.0221531584990807
Polly,SRSSampling,0.0086,0.0203644900412374
Polly,SRSSampling,0.0087,0.018636995354254
Polly,SRSSampling,0.0088,0.0169685881072721
Polly,SRSSampling,0.0089,0.0153572529239398
Polly,SRSSampling,0.009,0.0138010429760973
Polly,SRSSampling,0.0091,0.0122980776588408
Polly,SRSSampling,0.0092,0.0108465403442187
Polly,SRSSampling,0.0093,0.009444676210906
Polly,SRSSampling,0.0094,0.0080907901472975
Polly,SRSSampling,0.0095,0.0067832447255402
Polly,SRSSampling,0.0096,0.0155204582441131
Polly,SRSSampling,0.0097,0.0143009028366475
Polly,SRSSampling,0.0098,0.0131231026447337
Polly,SRSSampling,0.0099,0.0119856320525821
Polly,SRSSampling,0.01,0.0108871139814302
Polly,SRSSampling,0.0101,0.009826218241687
Polly,SRSSampling,0.0102,0.0088016599408654
Polly,SRSSampling,0.0103,0.0078121979454186
Polly,SRSSampling,0.0104,0.0068566333946604
Polly,SRSSampling,0.0105,0.0059338082650114
Polly,SRSSampling,0.0106,0.0050426039828703
Polly,SRSSampling,0.0107,0.0041819400844742
Polly,SRSSampling,0.0108,0.0033507729211457
Polly,SRSSampling,0.0109,0.0025480944084137
