Case Study,Sampling Strategy,Robustness,Confidence Difference
Polly,divDistBased,0.0,0.0
Polly,divDistBased,0.0001,-0.024009935592869
Polly,divDistBased,0.0002,-0.0268664247603065
Polly,divDistBased,0.0003,-0.028608477076474
Polly,divDistBased,0.0004,-0.0092737865166691
Polly,divDistBased,0.0005,0.0111012242990609
Polly,divDistBased,0.0006,-0.0075186386540143
Polly,divDistBased,0.0007,0.054832617869007
Polly,divDistBased,0.0008,0.0481221344427929
Polly,divDistBased,0.0009,0.0523181603720014
Polly,divDistBased,0.001,0.0473900163863006
Polly,divDistBased,0.0011,0.0433080585870574
Polly,divDistBased,0.0012,0.0200436436037881
Polly,divDistBased,0.0013,0.0475690949198917
Polly,divDistBased,0.0014,0.1158576703285377
Polly,divDistBased,0.0015,0.1448835304808883
Polly,divDistBased,0.0016,0.154621708490071
Polly,divDistBased,0.0017,0.1450480805556968
Polly,divDistBased,0.0018,0.1361393375744262
Polly,divDistBased,0.0019,0.1278729577040156
Polly,divDistBased,0.002,0.1202271798485856
Polly,divDistBased,0.0021,0.1031809780343963
Polly,divDistBased,0.0022,0.086714036646284
Polly,divDistBased,0.0023,0.0708067264959356
Polly,divDistBased,0.0024,0.0654400816941355
Polly,divDistBased,0.0025,0.0805957773000529
Polly,divDistBased,0.0026,0.0662561077215225
Polly,divDistBased,0.0027,0.0624039658412477
Polly,divDistBased,0.0028,0.0490228228443682
Polly,divDistBased,0.0029,0.1160967087241987
Polly,divDistBased,0.003,0.103610193443178
Polly,divDistBased,0.0031,0.1215483687271554
Polly,divDistBased,0.0032,0.1098968304717721
Polly,divDistBased,0.0033,0.098641661740415
Polly,divDistBased,0.0034,0.0877694163339071
Polly,divDistBased,0.0035,0.0772671029127656
Polly,divDistBased,0.0036,0.0671221696534821
Polly,divDistBased,0.0037,0.0573224894209856
Polly,divDistBased,0.0038,0.0478563454398027
Polly,divDistBased,0.0039,0.0687124174474136
Polly,divDistBased,0.004,0.0598797683134543
Polly,divDistBased,0.0041,0.0513478311092072
Polly,divDistBased,0.0042,0.0531063966122552
Polly,divDistBased,0.0043,0.0451456012316974
Polly,divDistBased,0.0044,0.0374559153398117
Polly,divDistBased,0.0045,0.0300281319965215
Polly,divDistBased,0.0046,0.0228533560534721
Polly,divDistBased,0.0047,0.0159229936250202
Polly,divDistBased,0.0048,0.0192287419137002
Polly,divDistBased,0.0049,0.0127625793784201
Polly,divDistBased,0.005,0.0065167562337605
Polly,divDistBased,0.0051,0.0004837852693032
Polly,divDistBased,0.0052,-0.0053435670217668
Polly,divDistBased,0.0053,-0.0109722890151766
Polly,divDistBased,0.0054,-0.0164091322392373
Polly,divDistBased,0.0055,-0.0116606193793784
Polly,divDistBased,0.0056,-0.01673305201293
Polly,divDistBased,0.0057,-0.0216325180831832
Polly,divDistBased,0.0058,-0.0263648991215755
Polly,divDistBased,0.0059,-0.0209358772263562
Polly,divDistBased,0.006,-0.0253509418060001
Polly,divDistBased,0.0061,-0.0296153960952468
Polly,divDistBased,0.0062,-0.0237343634514135
Polly,divDistBased,0.0063,-0.0277127934383711
Polly,divDistBased,0.0064,-0.0315554677053249
Polly,divDistBased,0.0065,-0.0352670056672985
Polly,divDistBased,0.0066,-0.0388518699939975
Polly,divDistBased,0.0067,-0.0423143719134727
Polly,divDistBased,0.0068,-0.0456586763368737
Polly,divDistBased,0.0069,-0.0388888068102335
Polly,divDistBased,0.007,-0.0420086502991631
Polly,divDistBased,0.0071,-0.0450219618120545
Polly,divDistBased,0.0072,-0.037932368867233
Polly,divDistBased,0.0073,-0.0407433758093093
Polly,divDistBased,0.0074,-0.0434583679798084
Polly,divDistBased,0.0075,-0.0460806157469816
Polly,divDistBased,0.0076,-0.0486132783995441
Polly,divDistBased,0.0077,-0.0510594079089051
Polly,divDistBased,0.0078,-0.053421952564359
Polly,divDistBased,0.0079,-0.0557037604854614
Polly,divDistBased,0.008,-0.0579075830157687
Polly,divDistBased,0.0081,-0.0600360780019193
Polly,divDistBased,0.0082,-0.062091812961924
Polly,divDistBased,0.0083,-0.0440772681463963
Polly,divDistBased,0.0084,-0.0459948394963315
Polly,divDistBased,0.0085,-0.0478468415009192
Polly,divDistBased,0.0086,-0.0496355099587625
Polly,divDistBased,0.0087,-0.0513630046457459
Polly,divDistBased,0.0088,-0.0530314118927277
Polly,divDistBased,0.0089,-0.05464274707606
Polly,divDistBased,0.009,-0.0561989570239026
Polly,divDistBased,0.0091,-0.0577019223411591
Polly,divDistBased,0.0092,-0.0591534596557812
Polly,divDistBased,0.0093,-0.0605553237890938
Polly,divDistBased,0.0094,-0.0619092098527024
Polly,divDistBased,0.0095,-0.0632167552744596
Polly,divDistBased,0.0096,-0.0544795417558867
Polly,divDistBased,0.0097,-0.0556990971633524
Polly,divDistBased,0.0098,-0.0568768973552662
Polly,divDistBased,0.0099,-0.0480143679474177
Polly,divDistBased,0.01,-0.0491128860185696
Polly,divDistBased,0.0101,-0.0501737817583128
Polly,divDistBased,0.0102,-0.0511983400591344
Polly,divDistBased,0.0103,-0.0521878020545812
Polly,divDistBased,0.0104,-0.0531433666053394
Polly,divDistBased,0.0105,-0.0540661917349885
Polly,divDistBased,0.0106,-0.0549573960171295
Polly,divDistBased,0.0107,-0.0458180599155256
Polly,divDistBased,0.0108,-0.0466492270788542
Polly,divDistBased,0.0109,-0.0474519055915861
