Case Study,Sampling Strategy,Robustness,Confidence Difference
Polly,random,0.0,0.0
Polly,random,0.0001,-0.014009935592869
Polly,random,0.0002,-0.0268664247603065
Polly,random,0.0003,-0.048608477076474
Polly,random,0.0004,-0.059273786516669
Polly,random,0.0005,-0.058898775700939
Polly,random,0.0006,-0.0775186386540143
Polly,random,0.0007,-0.0551673821309929
Polly,random,0.0008,-0.061877865557207
Polly,random,0.0009,-0.0676818396279985
Polly,random,0.001,-0.0526099836136993
Polly,random,0.0011,-0.0366919414129425
Polly,random,0.0012,-0.0499563563962118
Polly,random,0.0013,-0.0424309050801082
Polly,random,0.0014,-0.0541423296714622
Polly,random,0.0015,-0.0051164695191117
Polly,random,0.0016,0.004621708490071
Polly,random,0.0017,0.0250480805556968
Polly,random,0.0018,0.0161393375744262
Polly,random,0.0019,0.0378729577040156
Polly,random,0.002,0.0502271798485857
Polly,random,0.0021,0.0331809780343963
Polly,random,0.0022,0.0267140366462841
Polly,random,0.0023,0.0308067264959356
Polly,random,0.0024,0.0254400816941354
Polly,random,0.0025,0.0105957773000529
Polly,random,0.0026,0.0062561077215225
Polly,random,0.0027,0.0424039658412477
Polly,random,0.0028,0.0290228228443681
Polly,random,0.0029,0.0760967087241987
Polly,random,0.003,0.0636101934431779
Polly,random,0.0031,0.0515483687271554
Polly,random,0.0032,0.039896830471772
Polly,random,0.0033,0.0486416617404149
Polly,random,0.0034,0.037769416333907
Polly,random,0.0035,0.0372671029127655
Polly,random,0.0036,0.0271221696534821
Polly,random,0.0037,0.0273224894209855
Polly,random,0.0038,0.0178563454398027
Polly,random,0.0039,0.0187124174474135
Polly,random,0.004,0.0098797683134542
Polly,random,0.0041,0.0113478311092072
Polly,random,0.0042,0.0131063966122553
Polly,random,0.0043,0.0051456012316974
Polly,random,0.0044,-0.0025440846601881
Polly,random,0.0045,0.0100281319965216
Polly,random,0.0046,0.0028533560534722
Polly,random,0.0047,-0.0040770063749796
Polly,random,0.0048,-0.0007712580862996
Polly,random,0.0049,-0.0072374206215797
Polly,random,0.005,-0.0134832437662393
Polly,random,0.0051,-0.0095162147306967
Polly,random,0.0052,-0.0153435670217668
Polly,random,0.0053,-0.0209722890151766
Polly,random,0.0054,-0.0264091322392373
Polly,random,0.0055,-0.0216606193793784
Polly,random,0.0056,-0.02673305201293
Polly,random,0.0057,-0.0316325180831832
Polly,random,0.0058,-0.0363648991215755
Polly,random,0.0059,-0.0209358772263562
Polly,random,0.006,-0.0253509418060001
Polly,random,0.0061,-0.0296153960952468
Polly,random,0.0062,-0.0337343634514135
Polly,random,0.0063,-0.0377127934383711
Polly,random,0.0064,0.0084445322946751
Polly,random,0.0065,0.0047329943327014
Polly,random,0.0066,0.0311481300060024
Polly,random,0.0067,0.0276856280865273
Polly,random,0.0068,0.0243413236631263
Polly,random,0.0069,0.0211111931897665
Polly,random,0.007,0.0179913497008369
Polly,random,0.0071,0.0149780381879455
Polly,random,0.0072,0.0120676311327669
Polly,random,0.0073,0.0092566241906907
Polly,random,0.0074,0.0065416320201916
Polly,random,0.0075,0.0039193842530184
Polly,random,0.0076,0.0013867216004559
Polly,random,0.0077,-0.0010594079089051
Polly,random,0.0078,-0.0034219525643589
Polly,random,0.0079,0.0042962395145385
Polly,random,0.008,0.0020924169842312
Polly,random,0.0081,-3.607800191940402e-05
Polly,random,0.0082,-0.002091812961924
Polly,random,0.0083,-0.0040772681463964
Polly,random,0.0084,-0.0059948394963316
Polly,random,0.0085,-0.0078468415009193
Polly,random,0.0086,-0.0096355099587626
Polly,random,0.0087,-0.011363004645746
Polly,random,0.0088,-0.0130314118927278
Polly,random,0.0089,0.0053572529239398
Polly,random,0.009,0.0038010429760972
Polly,random,0.0091,0.0022980776588408
Polly,random,0.0092,0.0008465403442187
Polly,random,0.0093,-0.0005553237890939
Polly,random,0.0094,-0.0019092098527024
Polly,random,0.0095,-0.0032167552744597
Polly,random,0.0096,-0.0044795417558868
Polly,random,0.0097,-0.0056990971633524
Polly,random,0.0098,-0.0068768973552663
Polly,random,0.0099,-0.0080143679474178
Polly,random,0.01,-0.0091128860185697
Polly,random,0.0101,-0.0101737817583129
Polly,random,0.0102,-0.0111983400591345
Polly,random,0.0103,-0.0021878020545813
Polly,random,0.0104,-0.0031433666053395
Polly,random,0.0105,-0.0040661917349885
Polly,random,0.0106,-0.0049573960171296
Polly,random,0.0107,0.0041819400844742
Polly,random,0.0108,0.0033507729211457
Polly,random,0.0109,0.0025480944084137
