Case Study,Sampling Strategy,Robustness,Confidence Difference
Polly,solverBased,0.0,0.0
Polly,solverBased,0.001,-0.2026099836136994
Polly,solverBased,0.002,-0.2397728201514143
Polly,solverBased,0.003,0.153610193443178
Polly,solverBased,0.004,0.0698797683134542
Polly,solverBased,0.005,0.0765167562337606
Polly,solverBased,0.006,0.0346490581939998
Polly,solverBased,0.007,0.0179913497008369
Polly,solverBased,0.008,0.0120924169842312
Polly,solverBased,0.009,0.0038010429760972
Polly,solverBased,0.01,0.0108871139814302
Polly,solverBased,0.011,0.0217729308175111
Polly,solverBased,0.012,0.0153427365316817
Polly,solverBased,0.013,0.0108077383900081
Polly,solverBased,0.014,0.0076104891241236
Polly,solverBased,0.015,0.0053571739971498
Polly,solverBased,0.016,0.0037696762831789
Polly,solverBased,0.017,0.0026516559246825
Polly,solverBased,0.018,0.0018645531784819
Polly,solverBased,0.019,0.0013106192832028
Polly,solverBased,0.02,0.0009209206038717
Polly,solverBased,0.021,0.0006468615899336
Polly,solverBased,0.022,0.0004541964720243
Polly,solverBased,0.023,0.0003188005387825
Polly,solverBased,0.024,0.0002236850261526
Polly,solverBased,0.025,0.0001568906389444
Polly,solverBased,0.026,0.0001100016197256
Polly,solverBased,0.027,7.709793266319487e-05
Polly,solverBased,0.028,5.401665221926866e-05
Polly,solverBased,0.029,3.783149886560366e-05
Polly,solverBased,0.03,2.648622451617566e-05
Polly,solverBased,0.031,1.8536462612850357e-05
Polly,solverBased,0.032,1.2968018718084728e-05
Polly,solverBased,0.033,9.069013172879892e-06
Polly,solverBased,0.034,6.3399486412984984e-06
Polly,solverBased,0.035,4.430476292172081e-06
Polly,solverBased,0.036,3.094950663751206e-06
Polly,solverBased,0.037,2.1612019219796608e-06
Polly,solverBased,0.038,1.5086028543054295e-06
Polly,solverBased,0.039,1.052669726497868e-06
Polly,solverBased,0.04,7.342545250699217e-07
Polly,solverBased,0.041,5.119624173488546e-07
Polly,solverBased,0.042,3.568339284054645e-07
Polly,solverBased,0.043,2.486167991477828e-07
Polly,solverBased,0.044,1.7315328193490134e-07
Polly,solverBased,0.045,1.2054982045928142e-07
Polly,solverBased,0.046,8.38953031490064e-08
Polly,solverBased,0.047,5.8363808119743517e-08
Polly,solverBased,0.048,4.0586737304337817e-08
Polly,solverBased,0.049,2.8213623104456076e-08
Polly,solverBased,0.05,1.9605026380098426e-08
Polly,solverBased,0.051,1.3617879934813004e-08
Polly,solverBased,0.052,9.455504823563388e-09
Polly,solverBased,0.053,6.562853926972423e-09
Polly,solverBased,0.054,4.553372678905987e-09
Polly,solverBased,0.055,3.157953565313676e-09
Polly,solverBased,0.056,2.189323944357113e-09
Polly,solverBased,0.057,1.517209913259876e-09
Polly,solverBased,0.058,1.0510233794391866e-09
Polly,solverBased,0.059,7.27796045651985e-10
Polly,solverBased,0.06,5.037757988546332e-10
Polly,solverBased,0.061,3.4857394748399884e-10
Polly,solverBased,0.062,2.410915911355005e-10
Polly,solverBased,0.063,1.6668577629275203e-10
Polly,solverBased,0.064,1.1519762921352593e-10
Polly,solverBased,0.065,7.958245173966816e-11
Polly,solverBased,0.066,5.495648380815509e-11
Polly,solverBased,0.067,3.7935765639929286e-11
Polly,solverBased,0.068,2.617617234079717e-11
Polly,solverBased,0.069,1.805466887105922e-11
Polly,solverBased,0.07,1.244804259670218e-11
